respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.3169768400121424,0.4225450540855948
26708,0.3320966016408139,0.3461470740254858
26709,0.3591706569318872,0.43632791674209975
26710,0.36950540405679455,0.5878682060289065
26711,0.34523348385412167,0.44237135105999564
26712,0.5002789355950223,0.6083986690119638
26713,0.3712267579532322,0.6072928808231595
26714,0.3637976469921917,0.4670794131524069
26715,0.3682025242413862,0.4938120797474105
26716,0.3862865471904123,0.6105523997516943
26717,0.28988197767307805,0.41207121433494287
26718,0.34786316120627847,0.45135297627497817
26719,0.3748081394347852,0.6282308572019099
26720,0.31584613311120835,0.39306987651912945
26721,0.309689121790467,0.3239378193989502
26722,0.4123932164484461,0.5264026604482875
26723,0.37563894592869984,0.5832909469359181
26724,0.3718188722824284,0.5993779294144975
26725,0.329575387861704,0.4399759419645832
26726,0.2899705307502291,0.3069792838659004
26727,0.3851571850036071,0.6184702039535291
26728,0.3350004147335833,0.5011957442438849
26729,0.5607753085053604,0.7133097384694077
26730,0.32027332672753134,0.4014141258531742
26731,0.3911169408974439,0.594841270565983
26732,0.3053540942736766,0.4148952242987251
26733,0.4621499647006157,0.6098819169584125
26734,0.38193998946482965,0.42708853065957475
26735,0.34437502940714176,0.4247199108859551
26736,0.32265355000334933,0.37907297257935363
26737,0.4037454124714306,0.526161667103134
26738,0.35573832559120894,0.47927181514574047
26739,0.41908037060793346,0.5210071636200856
26740,0.3475446966258151,0.3922423126463656
26741,0.37641183018835045,0.5081142163388654
26742,0.34253759011728335,0.5043864533909675
26743,0.3580195997751872,0.5562432935523074
26744,0.34201882446697723,0.4795868938580308
26745,0.3865790410417902,0.5755024934743416
26746,0.3321115426309191,0.4187713630939518
26747,0.32381175102629234,0.37209969157459155
26748,0.31616097160003315,0.2788982190480648
26749,0.3836600569065191,0.4844292557551867
26750,0.36316365638816456,0.6147576796308154
26751,0.4886036411946638,0.6261876005713601
26752,0.3503577088962808,0.4546918600013405
26753,0.3718188722824284,0.5993779294144975
26754,0.5080282048846048,0.5559557761936311
26755,0.3504610644716619,0.5508927885359469
26756,0.35510901842260456,0.3781577529540742
26757,0.3137209991902879,0.36447433393661544
26758,0.48391053109917914,0.5965934350843314
26759,0.309965257246924,0.4555637959235185
26760,0.3481110027925277,0.3899439771078223
26761,0.3790733535995849,0.5959128368152157
26762,0.35859666740548074,0.5926940074204999
